"title"	"date"	"document_doc"	"document_pdf"	"text"	"document_reference"	"agency"	"month"	"quarter"	"year"
"Projects of Common Interest"	2018-10-09	"http://www.europarl.europa.eu/RegData/questions/ecrites/2018/004885/P8_QE(2018)004885_EN.docx"	"http://www.europarl.europa.eu/RegData/questions/ecrites/2018/004885/P8_QE(2018)004885_EN.pdf"	"Extract: allow for the integration of renewable energy and its transportation over long distances.  However, in a decision of 19 June 2018 on the exemption request for the AQUIND Interconnector, the Agency for the Cooperation of Energy Regulators (ACER) ruled"	"
								 
							      
							      
							         P8_QE(2018)004885
							      
							    
							"	"ACER"	2018-10-01	2018-10-01	2018-01-01
"Electricity link between Crete and Attica"	2018-09-18	"http://www.europarl.europa.eu/RegData/questions/ecrites/2018/004517/P8_QE(2018)004517_EN.docx"	"http://www.europarl.europa.eu/RegData/questions/ecrites/2018/004517/P8_QE(2018)004517_EN.pdf"	"Extract: ACER deeming that there has been a delay in the completion of the PCI, and is also contesting the involvement of the relevant Greek authority; despite its minority shareholding, it is seeking to have decisive control over the project.  The ADMIE"	"
								 
							      
							      
							         P8_QE(2018)004517
							      
							    
							"	"ACER"	2018-09-01	2018-07-01	2018-01-01
"New funding possibilities for EU agencies"	2018-02-07	"http://www.europarl.europa.eu/RegData/questions/ecrites/2018/000781/P8_QE(2018)000781_EN.docx"	"http://www.europarl.europa.eu/RegData/questions/ecrites/2018/000781/P8_QE(2018)000781_EN.pdf"	"Extract: proposal is that in future the agencies, for example the Agency for the Cooperation of Energy Regulators (ACER), should be able to charge fees for providing certain services. This approach would shift the funding burden from the EU budget to national"	"
								 
							      
							      
							         P8_QE(2018)000781
							      
							    
							"	"ACER"	2018-02-01	2018-01-01	2018-01-01
"Competition policy and the energy oligopoly in Spain"	2017-06-08	"http://www.europarl.europa.eu/RegData/questions/ecrites/2017/003524/P8_QE(2017)003524_EN.docx"	"http://www.europarl.europa.eu/RegData/questions/ecrites/2017/003524/P8_QE(2017)003524_EN.pdf"	"Extract: Regulators (ACER) and the Council of European Energy Regulators (CEER) in their recent White Paper1, which endorses the withdrawal of the subsidies. Not only does the current situation imply severe discrimination against Spanish, vis-à-vis foreign"	"
								 
							      
							      
							         P8_QE(2017)003524
							      
							    
							"	"ACER"	2017-06-01	2017-04-01	2017-01-01
"German-Austrian electricity pricing zone"	2017-04-06	"http://www.europarl.europa.eu/RegData/questions/ecrites/2017/001929/P8_QE(2017)001929_EN.docx"	"http://www.europarl.europa.eu/RegData/questions/ecrites/2017/001929/P8_QE(2017)001929_EN.pdf"	"Extract: 2002. In December 2016, the Agency for the Cooperation of Energy Regulators (ACER) decided to split up the zone and introduce congestion management at the border. A common electricity pricing zone promotes cross-border electricity trading between"	"
								 
							      
							      
							         P8_QE(2017)001929
							      
							    
							"	"ACER"	2017-04-01	2017-04-01	2017-01-01
"Achieving the 10 % electricity interconnection target for 2020."	2016-05-11	NA	"http://www.europarl.europa.eu/RegData/questions/ecrites/2016/003466/P8_QE(2016)003466_EN.pdf"	"Extract: grant ACER the appropriate competences and authorisation to gather essential information on individual cross border transmission capacities so that the agency can carry out its supervisory role effectively? If so, when? 3. When will the Commission"	"
								 
							      
							      
							         P8_QE(2016)003466
							      
							    
							"	"ACER"	2016-05-01	2016-04-01	2016-01-01
"Harmonisation of electricity imbalance settlement periods"	2016-04-22	NA	"http://www.europarl.europa.eu/RegData/questions/ecrites/2016/002934/P8_QE(2016)002934_EN.pdf"	"Extract:, the Agency for the Cooperation of Energy Regulators (ACER) has published recommendation 3/2015 for a Network Code on Electricity Balancing requiring that electricity imbalance settlement periods (ISP) are harmonised to 15 minutes (currently 60"	"
								 
							      
							      
							         P8_QE(2016)002934
							      
							    
							"	"ACER"	2016-04-01	2016-04-01	2016-01-01
"Discrimination against Czech players on the electricity market as a result of German-Austrian cross-border exchange"	2016-04-18	NA	"http://www.europarl.europa.eu/RegData/questions/ecrites/2016/002782/P8_QE(2016)002782_EN.pdf"	"Extract: exchange The Agency ACER published an official non-binding opinion on 23 September 2015 in which it found that the current system on the German-Austrian border has reduced the cross-border transmission capacity of neighbouring countries and concluded"	"
								 
							      
							      
							         P8_QE(2016)002782
							      
							    
							"	"ACER"	2016-04-01	2016-04-01	2016-01-01
"Strengthening the powers of the Agency for the Cooperation of Energy Regulators (ACER)"	2016-03-30	NA	"http://www.europarl.europa.eu/RegData/questions/ecrites/2016/001775/P8_QE(2016)001775_EN.pdf"	"Extract:1089974.EN PE 578.212 Question for written answer E-001775/2016/rev.1 to the Commission Rule 130 Zigmantas Balcytis (S&D) Subject: Strengthening the powers of the Agency for the Cooperation of Energy Regulators (ACER) One of the Agency"	"
								 
							      
							      
							         P8_QE(2016)001775
							      
							    
							"	"ACER"	2016-03-01	2016-01-01	2016-01-01
"Strengthening the role of national regulatory authorities"	2016-03-14	NA	"http://www.europarl.europa.eu/RegData/questions/ecrites/2016/001778/P8_QE(2016)001778_EN.pdf"	"Extract: (i.e. allocating funds at insufficient levels to ensure their ability to function properly). NRAs play a very important role in the activities of ACER, particularly as regards resolving cross-border energy issues. However, not all of the Member"	"
								 
							      
							      
							         P8_QE(2016)001778
							      
							    
							"	"ACER"	2016-03-01	2016-01-01	2016-01-01
