id,agency_excel,dimension,total_hits
1,EU-OSHA,evidence,171
2,EU-OSHA,hr,34
3,EU-OSHA,leg_command,114
4,EU-OSHA,none,703
5,EU-OSHA,participation,90
6,EBA,evidence,961
7,EBA,hr,27
8,EBA,leg_command,566
9,EBA,none,3063
10,EBA,participation,196
11,eu-LISA,evidence,30
12,eu-LISA,hr,13
13,eu-LISA,leg_command,18
14,eu-LISA,none,47
15,eu-LISA,participation,13
16,EMCDDA,evidence,424
17,EMCDDA,hr,44
18,EMCDDA,leg_command,274
19,EMCDDA,none,1546
20,EMCDDA,participation,143
21,EFCA,evidence,9
22,EFCA,hr,4
23,EFCA,leg_command,7
24,EFCA,participation,4
25,EFCA,none,43
26,EUROFOUND,evidence,155
27,EUROFOUND,hr,60
28,EUROFOUND,leg_command,81
29,EUROFOUND,none,562
30,EIOPA,evidence,250
31,EIOPA,hr,15
32,EIOPA,leg_command,128
33,EIOPA,none,656
34,EIOPA,participation,105
35,EDA,evidence,195
36,EDA,hr,52
37,EDA,leg_command,189
38,EDA,none,670
39,EDA,participation,152
40,Frontex,evidence,2196
41,Frontex,hr,2602
42,Frontex,leg_command,3532
43,Frontex,none,13874
44,Frontex,participation,810
45,EIGE,evidence,85
46,EIGE,hr,258
47,EIGE,leg_command,98
48,EIGE,none,278
49,EIGE,participation,73
50,ECHA,evidence,949
51,ECHA,hr,17
52,ECHA,leg_command,503
53,ECHA,none,1881
54,ECHA,participation,142
55,EMA,evidence,5601
56,EMA,hr,93
57,EMA,leg_command,1426
58,EMA,none,14405
59,EMA,participation,1656
60,EEA,evidence,598
61,EEA,hr,34
62,EEA,leg_command,313
63,EEA,none,1870
64,EEA,participation,130
65,EFSA,evidence,1819
66,EFSA,hr,25
67,EFSA,leg_command,554
68,EFSA,none,3635
69,EFSA,participation,166
70,Europol,evidence,5101
71,Europol,hr,912
72,Europol,leg_command,3808
73,Europol,none,19762
74,Europol,participation,1179
75,EMSA,evidence,63
76,EMSA,hr,13
77,EMSA,leg_command,36
78,EMSA,none,200
79,EMSA,participation,22
80,ECDC,evidence,1735
81,ECDC,hr,88
82,ECDC,leg_command,501
83,ECDC,none,5384
84,ECDC,participation,243
85,EASO,evidence,194
86,EASO,hr,212
87,EASO,leg_command,294
88,EASO,none,827
89,EASO,participation,76
90,ESRB,evidence,320
91,ESRB,hr,11
92,ESRB,leg_command,224
93,ESRB,none,1316
94,ESRB,participation,85
95,GSA,evidence,17
96,GSA,hr,3
97,GSA,leg_command,2
98,GSA,none,31
99,GSA,participation,4
100,FRA,evidence,91
101,FRA,hr,232
102,FRA,leg_command,95
103,FRA,none,265
104,FRA,participation,54
105,EASA,evidence,367
106,EASA,hr,18
107,EASA,leg_command,249
108,EASA,none,1107
109,EASA,participation,36
110,ACER,evidence,37
111,ACER,hr,0
112,ACER,leg_command,32
113,ACER,none,79
114,Eurojust,evidence,512
115,Eurojust,hr,185
116,Eurojust,leg_command,504
117,Eurojust,none,1882
118,Eurojust,participation,151
119,CEPOL,evidence,2
120,CEPOL,hr,0
121,CEPOL,leg_command,4
122,CEPOL,none,4
123,CEPOL,participation,1
124,ENISA,evidence,44
125,ENISA,hr,1
126,ENISA,leg_command,16
127,ENISA,none,82
128,ENISA,participation,2
129,EUIPO,evidence,358
130,EUIPO,hr,2
131,EUIPO,leg_command,20
132,EUIPO,none,781
133,EUISS,evidence,2
134,EUISS,hr,0
135,EUISS,leg_command,3
136,EUISS,none,7
137,EUISS,participation,1
138,ERA,evidence,84
139,ERA,hr,11
140,ERA,leg_command,97
141,ERA,none,187
142,ERA,participation,19
143,EUSPA,evidence,1
144,EUSPA,hr,1
145,EUSPA,leg_command,0
146,EUSPA,none,1
147,EUSPA,participation,0
148,SatCen,evidence,4
149,SatCen,hr,1
150,SatCen,leg_command,3
151,SatCen,none,5
152,SatCen,participation,2
153,ESMA,evidence,396
154,ESMA,hr,14
155,ESMA,leg_command,138
156,ESMA,none,852
157,ESMA,participation,182
158,ETF,evidence,11
159,ETF,hr,9
160,ETF,leg_command,9
161,ETF,none,24
162,ETF,participation,4
163,Cedefop,evidence,45
164,Cedefop,hr,17
165,Cedefop,leg_command,29
166,Cedefop,none,87
167,Cedefop,participation,28
168,CPVO,evidence,4
169,CPVO,hr,1
170,CPVO,leg_command,2
171,CPVO,none,6
172,CPVO,participation,0
173,-,evidence,1
174,-,hr,1
175,-,leg_command,2
176,-,none,2
177,-,participation,1
178,CdT,hr,3
179,CdT,leg_command,4
180,CdT,none,5
181,CdT,participation,2
